,Category,Sub-category,Title,Organisation,Organisation Acronym,URL,Coverage,Resolution,Data Format,Last Update,Access to Dataset,Description,Contact,Data Update,Count
15,Background_Support,Climate,Irish Weather Buoy Network,Marine Institute,,http://www.marine.ie/Home/site-area/data-services/real-time-observations/irish-marine-data-buoy-observation-network?language=en,,Time Series,,Daily,https://www.digitalocean.ie/,Weather data at ~ 60 min intervals,,,1
16,Background_Support,Climate,Historical Weather Data,Met Éireann,,https://www.met.ie/climate/available-data/historical-data,National,Time Series,,,https://www.met.ie/climate/available-data/historical-data ,Range of historic weather data for stations around the country,,,1
17,Background_Support,Climate,Long Term Datasets,Met Éireann,,https://www.met.ie/climate/available-data/long-term-data-sets,,Time Series,,,https://www.met.ie/climate/available-data/long-term-data-sets,Range of historic weather data for stations around the country,,,1
18,Background_Support,Climate,30 Year Averages,Met Éireann,,https://www.met.ie/climate/30-year-averages,,Time Series,,,https://www.met.ie/climate/30-year-averages,,,,1
19,Background_Support,Climate,Marine Carbon,Marine Institute,,https://atlas.marine.ie/,National,50m,Raster,2017,https://data.gov.ie/dataset/national-ecosystem-and-ecosystem-services-map-ecosystem-service-stock-map-marine-carbon,This dataset contains a raster file showing contribution to the regulation of greenhouse gases (carbon) through carbon sequestration associated with the marine environment.,,,1
20,Background_Support,Climate,Climate change research programme (emission inventories),Environmental Protection Agency,EPA,http://www.epa.ie/pubs/reports/air/airemissions/ghgemissions/,National, ,,1990-2015,Contact the EPA to request the data,,,,1
21,Background_Support,Climate,Furnace automatic real time weather station,Marine Institute, ,https://data.gov.ie/dataset/furnace-automatic-real-time-weather-station,Irish Waters,,,Ongoing,Direct download from the Marine Institute Website (last 72 hours) or submit request at the Marine Institute website,,,,1
22,Background_Support,Climate,Green House Gas (GHGs) emissions,Sustainable Energy Authority of Ireland,SEAI,www.seai.ie,National,,,Annually (2000-2015),Download the data from the CSO website. Contact SEAI to request historic data,,,,1
23,Background_Support,Climate,Green House Gas (GHGs) emissions by sector,Environmental Protection Agency,EPA,http://www.epa.ie/pubs/reports/air/airemissions/,National,,,1990-2016,Download the reports and data from the EPA website,,,,1
24,Background_Support,Climate,Greenhouse Gas Emissions Projections 2017-2035,Environmental Protection Agency,EPA,http://www.epa.ie/pubs/reports/air/airemissions/,National,,,2017,Download the report from the EPA website,,,,1
25,Background_Support,Climate,Historic climate data (daily),European Climate Assessment, ,https://www.ecad.eu/,Global,,,20th century,Direct download upon request,,,,1
26,Background_Support,Climate,"Historic climate data (hourly, daily, monthly)",Met Éireann, ,https://www.met.ie/climate/available-data,National,,,Last 30 years,Direct download upon request,,,,1
27,Background_Support,Climate,Hourly/daily mean relative humidity and pressure,Met Éireann, ,https://www.met.ie/climate/available-data/daily-data,National,,,Daily,Direct free download from the website for the last 32 months. Contact Met Eireann to purchase historical data,,,,1
28,Background_Support,Climate,Hourly/daily mean wind speed and direction,Met Éireann, ,https://www.met.ie/climate/available-data/daily-data,National,,,Daily,Direct free download from the website for the last 32 months. Contact Met Eireann to purchase historical data,,,,1
29,Background_Support,Climate,Hourly/daily solar radiation and sunlight intensity (sunshine),Met Éireann, ,https://www.met.ie/climate/available-data/daily-data,National,,,Daily,Direct free download from the website for the last 32 months. Contact Met Eireann to purchase historical data,,,,1
30,Background_Support,Climate,Hourly/daily temperature (max/min),Met Éireann, ,https://www.met.ie/climate/available-data/daily-data,National,,,Daily,Direct free download from the website for the last 32 months (since Oct 2015). Contact Met Eireann to purchase historical data,,,,1
31,Background_Support,Climate,"Oceanographic conductivity, temperature and depth",Marine Institute, ,http://data.marine.ie/geonetwork/srv/eng/catalog.search#/metadata/ie.marine.data:dataset.2777,Irish Waters,,Shapefile,2020,Direct download from the Marine Institute Website,,,,1
32,Background_Support,Climate,Precipitation – Hourly/daily rainfall,Met Éireann, ,http://www.met.ie/climate/daily-data.asps,National,,,Daily,Direct free download from the website for the last 32 months. Contact Met Eireann to purchase historical data,,,,1
33,Background_Support,Climate,Precipitation 30 year average grids,Met Éireann, ,https://www.met.ie/climate/30-year-averages,National,1X1km grid,,1981 - 2010,Direct free download from the website,,,,1
34,Background_Support,Climate,Weather stations (at 25 locations),Met Éireann, ,https://www.met.ie/climate/available-data,National,,, ,Contact Met Eireann to request the data,,,,1
35,Background_Support,Climate,Weather datasets,Met Éireann, ,http://www.met.ie/,National, ,, ,Visualisation,,,,1
36,Background_Support,Mapping,"Aerial photographs (high resolution, rectified orthophotographs)",Ordnance Survey Ireland,OSi,https://store.osi.ie/,National,,,2012,View data online. Purchase from OSi,,,,1
37,Background_Support,Mapping,LiDAR,Geological Survey Ireland,GSI,https://dcenr.maps.arcgis.com/apps/webappviewer/index.html?id=b7c4b0e763964070ad69bf8c1572c9f5,National,Various,Raster,Various,"The Open Topographic Data Viewer was built and is hosted by Geological Survey Ireland. It provides access to processed LiDAR data in raster format from Geological Survey Ireland,
Department of Culture, Heritage and the Gaeltacht, Discovery Programme, Transport Infrastructure Ireland, New York University, The Office of Public Works,
Westmeath County Council",,,,1
38,Background_Support,Mapping,Satellite imagery Sentinel,European Space Agency,ESA,https://scihub.copernicus.eu/,Global,"Various (10, 20 and 60 metre pixels)",Raster,2014 (ongoing),Direct free download from website (in frames). Registration to SciHub system is required,,,,1
39,Background_Support,Mapping,Aerial imagery,US Geological Survey,USGS,httpw://earthexplorer.usgs.gov/,Global,"Various; 1:1,000 to 1:200,000",Raster, ,Direct free download from website (in frames),,,,1
40,Background_Support,Mapping,Satellite imagery Landsat,US Geological Survey,USGS,https://earthexplorer.usgs.gov/,Global,"Various (30, 60 and 120 metre pixels)",Raster,1972 (ongoing) - at various time periods,Direct free download from website (in frames),,,,1
41,Background_Support,Mapping,Satellite imagery Quickbird,Ordnance Survey Ireland,OSi,http://maps.osi.ie/public/viewer/,National, ,, ,View data online and Purchase from OSi,,,,1
42,Background_Support,Mapping,Satellite imagery Sentinel,European Space Agency,ESA,https://scihub.copernicus.eu/,Global,"Various (10, 20 and 60 metre pixels)",Raster,2014 (ongoing),Direct free download from website (in frames). Registration to SciHub system is required,,,,1
43,Background_Support,Mapping,All Ireland maps,Ordnance Survey Ireland,OSi,https://www.osi.ie/products/professional-mapping/digital-series-ireland/,All Ireland,"1:210,000 / 1:450,000 / 1:600,000",Raster, ,View data online. Purchase from OSi,,,,1
44,Background_Support,Mapping,Digi-city and Digi-town (Streetmap),Ordnance Survey Ireland,OSi,https://www.osi.ie/products/professional-mapping/,National,"1:10,000 / 15,000 /1:10,000 / 1:50,000",Raster, ,View data online. Purchase from OSi,,,,1
45,Background_Support,Mapping,Historic maps 25 inch,Ordnance Survey Ireland,OSi,https://www.osi.ie/products/professional-mapping/historical-mapping/ ,National,25inch,,1897 to 1913,View data online. Purchase in Richview Library UCD as a PDF. Purchase from OSi as a georeferenced *tiff.,,,,1
46,Background_Support,Mapping,Historic maps 6 inch,Ordnance Survey Ireland,OSi,https://www.osi.ie/products/professional-mapping/historical-mapping/ ,National,6inch,,1829 to 1841,View data online. Purchase in Richview Library UCD as a PDF. Purchase from OSi as a georeferenced *tiff.,,,,1
47,Background_Support,Mapping,Digital Elevation Model 30m,US Geological Survey, ,https://earthexplorer.usgs.gov/ ,Global,30m,Raster,2013,Direct free download (Version 3  global 1 arc secon globaldata),,,,1
48,Background_Support,Mapping,Digital elevation models 90m,SRTM - Consortium for Spatial Information, ,https://cgiarcsi.community/data/srtm-90m-digital-elevation-database-v4-1,Global,90m,Raster,2008,Direct free download from website,,,,1
49,Background_Support,Mapping,CORINE land cover,Environmental Protection Agency,EPA,http://gis.epa.ie/GetData/Download,National,,Shapefile,2018,Direct free download from website,,,,1
50,Background_Support,Mapping,CORINE land cover changes,Environmental Protection Agency,EPA,http://gis.epa.ie/GetData/Download,National,,Shapefile,"1990-2000, 2000-2006, 2006-2012 and 2012-2018",Direct free download from website,,,,1
51,Background_Support,Mapping,Esri Land cover ,Environmental Systems Research Institute,Esri,https://www.arcgis.com/home/item.html?id=d6642f8a4f6d4685a24ae2dc0c73d4ac,Global,10m,Raster,2020,Direct free download from website,,,,1
52,Background_Support,Mapping,Generalised zoning types,"Department of Housing, Local Government and Heritage",DHPLG,https://www.myplan.ie/,National, ,,Various,View data online in MyPlan,,,,1
53,Background_Support,Mapping,Land registry,Ordnance Survey Ireland,OSi,https://www.osi.ie/,National,"Urban 1:1,000 / peri-urban 1:2,500 /rural 1:2,500 or 1:5,000",, ,Contact the OSI to request the data,,,,1
54,Background_Support,Mapping,Land use zonings (County Development Plans and Local Area Plans),Local Authorities, ,https://www.myplan.ie/,National, ,,Various,View data online in MyPlan. Contact the Local Authorities to request the data,,,,1
55,Background_Support,Mapping,Urban Atlas - Land Cover - 2012 (ITM),Environmental Protection Agency,EPA,http://gis.epa.ie/GetData/Download,Major Urban Areas,,Shapefile,2012,Direct free download from website,,,,1
56,Background_Support,Mapping,Urban Atlas - Street Trees - 2012 (ITM),Environmental Protection Agency,EPA,http://gis.epa.ie/GetData/Download,Cities and Rural ,,Shapefile,2012,Direct free download from website,,,,1
57,Background_Support,Mapping,Plan areas,Local Authorities, ,https://www.myplan.ie/,National, ,, ,View data online in MyPlan. Contact the Local Authorities to request the data,,,,1
58,Background_Support,Mapping,Regional Assemblies,"Department of Housing, Local Government and Heritage",DHPLG,http://www.southernassembly.ie/,National, ,, ,View website for documents/information,,,,1
59,Background_Support,Mapping,Residential land availability,Local Authorities, ,https://www.myplan.ie/,National, ,,2014,View data online in MyPlan. Contact Local Authorities to request the data Copyright and usability restrictions may apply,,,,1
60,Background_Support,Mapping,Residential phasing,Local Authorities, ,https://www.myplan.ie/,National, ,, ,View data online in MyPlan. Contact Local Authorities to request the data,,,,1
61,Background_Support,Mapping,"Archeological, architectural, cultural, industrial and natural heritage datasets",Heritage Viewer,Heritage Council,https://heritagemaps.ie/WebApps/HeritageMaps/index.html,National, ,, ,Visualisation and some data free to download at https://www.heritagecouncil.ie/projects/national-heritage-data-sets-metadata,,,,1
62,Background_Support,Mapping,"Base information mapping, nature and environment and population and economy datasets",GeoHive,OSi,http://map.geohive.ie/mapviewer.html,National, ,, ,Visualisation,,,,1
63,Background_Support,Mapping,"Biodiversity, flora and fauna datasets",National Biodiversity Data Centre,NBDC,http://maps.biodiversityireland.ie/#/Map,National, ,, ,Visualisation and some data downloads available at: https://maps.biodiversityireland.ie/Dataset,,,,1
64,Background_Support,Mapping,Bioenergy mapping system,Sustainable Energy Authority of Ireland,SEAI,http://maps.seai.ie/bioenergy/,National, ,, ,Visualisation,,,,1
65,Background_Support,Mapping,Catchment related data (integrated catchment management for Ireland),Environmental Protection Agency,EPA,https://www.catchments.ie/,National, ,, ,Visualisation,,,,1
66,Background_Support,Mapping,Environmental datasets and maps,Environmental Protection Agency,EPA,http://gis.epa.ie/,National, ,, ,Visualisation and direct free download of a number of datasets,,,,1
67,Background_Support,Mapping,Flood-related datasets,Office of Public Works,OPW,http://www.floodmaps.ie/,National, ,, ,Visualisation,,,,1
68,Background_Support,Mapping,Geological datasets,Geological Survey Ireland,GSI,https://www.gsi.ie/Mapping.htm,National, ,, ,Visualisation and direct free download from website,,,,1
69,Background_Support,Mapping,Geothermal mapping system,Sustainable Energy Authority of Ireland,SEAI,http://maps.seai.ie/geothermal/,National, ,, ,Visualisation,,,,1
70,Background_Support,Mapping,Government's open data portal,Irish Government, ,https://data.gov.ie/dataset,National, ,Various , ,Direct free download from website,,,,1
71,Background_Support,Mapping,Marine Atlas - Marine-related environmental and socio-economic datasets and maps,Marine Institute,,https://www.marine.ie/Home/site-area/data-services/search-marine-data/access-data,National,,Various ,,Visualisation and direct free download of a number of datasets,,,,1
72,Background_Support,Mapping,Marine Atlas - Marine-related environmental and socio-economic datasets and maps,Marine Institute, ,https://atlas.marine.ie/ ,National (offshore), ,Various , ,Visualisation and direct free download of a number of datasets,,,,1
73,Background_Support,Mapping,Marine renewable energy development in Ireland,Sustainable Energy Authority of Ireland,SEAI,http://www.oceanenergyireland.com/,National offshore, ,Various , ,Visualisation and direct free download of a number of datasets,,,,1
74,Background_Support,Mapping,Marine renewable energy development in Ireland,Marine Institute,,http://atlas.marine.ie/OceanEnergy.html#?c=53.9043:-15.8643:6,National offshore,,Various ,,Visualisation and direct free download of a number of datasets,,,,1
75,Background_Support,Mapping,Metadata on Irish spatial datasets,Irish Spatial Data Exchange,ISDE,https://www.isde.ie/geonetwork/srv/eng/catalog.search#/home,National, ,, ,Metadata (and data download for certain datasets),,,,1
76,Background_Support,Mapping,National Planning Framework,"Department of Housing, Local Government and Heritage",DHPLG,http://npf.ie/,National, ,,2020-2040,View website for documents/information. Visualisation of support maps and datasets through the AIRO Website,,,,1
77,Background_Support,Mapping,Planning - Regional Assemblies (Northern and Western; Southern; and Eastern and Midlands),"Department of Housing, Local Government and Heritage",DHPLG,https://www.nwra.ie/,Regional, ,, ,View website for documents/information.,,,,1
78,Background_Support,Mapping,Planning - Regional Assemblies (Northern and Western; Southern; and Eastern and Midlands),"Department of Housing, Local Government and Heritage",DHPLG, http://www.emra.ie/,Regional,,,,View website for documents/information.,,,,1
79,Background_Support,Mapping,Planning - Regional Assemblies (Northern and Western; Southern; and Eastern and Midlands),"Department of Housing, Local Government and Heritage",DHPLG,http://www.southernassembly.ie/,Regional,,,,View website for documents/information.,,,,1
80,Background_Support,Mapping,Planning and environmental datasets,"Department of Housing, Local Government and Heritage",DHPLG,https://myplan.ie/,National, ,, ,Visualisation and direct free download of a number of datasets,,,,1
81,Background_Support,Mapping,SEA-related datasets (Environmental Sensitivity Mapping),All Island Research Observatory,All Island Research Observatory,http://airo.maynoothuniversity.ie/mapping-resources/airo-research-maps/environmental-research-projects/environmental-sensitivity,National, ,, ,Visualisation,,,,1
82,Background_Support,Mapping,Wind energy and windfarm related datasets,Sustainable Energy Authority of Ireland,SEAI,http://maps.seai.ie/wind/,National, ,, ,Visualisation,,,,1
83,Hazard,Biodiversity,Invasive species database,National Biodiversity Data Centre,NBDC,https://invasives.ie/about/catalogue/,National,Various scales and resolutions (10Km2 to 100m2),,2016,View data online in the NBDC website. Contact the NBDC to request the data. See also: http://invasivespeciesireland.com/,,,,1
84,Hazard,Biodiversity,"HABS, finfish phytoplankton",Marine Institute, ,https://www.isde.ie/geonetwork/srv/eng/catalog.search#/metadata/189c7356-385e-405f-b5e4-50ee49b6e90f,Irish Waters, ,Shapefile,2002 (2017 revision),View and download data from Ireland's Marine Atlas website,,,,1
85,Hazard,Biodiversity,"HABS, inshore shellfish biotoxins",Marine Institute, ,https://www.isde.ie/geonetwork/srv/eng/catalog.search#/metadata/0aaa792a-f21a-432b-80b4-541e95e3f9a9,Irish Waters, ,Shapefile,2017,View and download data from Ireland's Marine Atlas website,,,,1
86,Hazard,Climate,2041-2060 Climate Projection: Temperature,EPA Research - Nolan & Flanagan (2020),-,http://www.epa.ie/pubs/reports/research/climate/researchreport339/,National,4 km,Raster ,2020,http://dev.climateireland.ie/#!/tools/climateDataExplorer,Projection of temperature considering 4.5 and 8.5 RCP scenarios.,info@climateireland.ie,,1
87,Hazard,Climate,2041-2060 Climate Projection: Precipitiation,EPA Research - Nolan & Flanagan (2020),-,http://www.epa.ie/pubs/reports/research/climate/researchreport339/,National,4 km,Raster ,2020,http://dev.climateireland.ie/#!/tools/climateDataExplorer,Projection of precipitation considering 4.5 and 8.5 RCP scenarios.,info@climateireland.ie,,1
88,Hazard,Climate,2041-2060 Climate Projection: Wind Speed,EPA Research - Nolan & Flanagan (2020),-,http://www.epa.ie/pubs/reports/research/climate/researchreport339/,National,4 km,Raster ,2020,http://dev.climateireland.ie/#!/tools/climateDataExplorer,Projection of wind speed considering 4.5 and 8.5 RCP scenarios.,info@climateireland.ie,,1
89,Hazard,Climate,2041-2060 Climate Projection: Heat Waves,EPA Research - Nolan & Flanagan (2020),-,http://www.epa.ie/pubs/reports/research/climate/researchreport339/,National,4 km,Raster ,2020,http://dev.climateireland.ie/#!/tools/climateDataExplorer,Projection of heatwaves events considering 4.5 and 8.5 RCP scenarios.,info@climateireland.ie,,1
90,Hazard,Climate,2041-2060 Climate Projection: Ice Days,EPA Research - Nolan & Flanagan (2020),-,http://www.epa.ie/pubs/reports/research/climate/researchreport339/,National,4 km,Raster ,2020,http://dev.climateireland.ie/#!/tools/climateDataExplorer,Projection of ice days considering 4.5 and 8.5 RCP scenarios.,info@climateireland.ie,,1
91,Hazard,Climate,2041-2060 Climate Projection: Frost Days,EPA Research - Nolan & Flanagan (2020),-,http://www.epa.ie/pubs/reports/research/climate/researchreport339/,National,4 km,Raster ,2020,http://dev.climateireland.ie/#!/tools/climateDataExplorer,Projection of frost days considering 4.5 and 8.5 RCP scenarios.,info@climateireland.ie,,1
92,Hazard,Climate,2041-2060 Climate Projection: Wet Days,EPA Research - Nolan & Flanagan (2020),-,http://www.epa.ie/pubs/reports/research/climate/researchreport339/,National,4 km,Raster ,2020,http://dev.climateireland.ie/#!/tools/climateDataExplorer,Projection of  wet days considering 4.5 and 8.5 RCP scenarios.,info@climateireland.ie,,1
93,Hazard,Climate,2041-2060 Climate Projection: Very Wet Days,EPA Research - Nolan & Flanagan (2020),-,http://www.epa.ie/pubs/reports/research/climate/researchreport339/,National,4 km,Raster ,2020,http://dev.climateireland.ie/#!/tools/climateDataExplorer,Projection of very wet days considering 4.5 and 8.5 RCP scenarios.,info@climateireland.ie,,1
94,Hazard,Climate,Heat waves and cold spells in Europe derived from climate projections,Copernicus,,https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-heat-and-cold-spells?tab=overview,European,0.1° x 0.1°,NetCDF 4,1986 to 2085,https://cds.climate.copernicus.eu/cdsapp#!/dataset/sis-heat-and-cold-spells?tab=form,The dataset contains the number of hot and cold spell days using different European-wide and national/regional definitions developed within the C3S European Health service. These heat wave and cold spell days are available for different future time periods and use different climate change scenarios.,,,1
95,Hazard,Environment,National Coastal Extreme Water Level Estimation Points (ICWWS - 2018),Office of Public Works,OPW,https://www.floodinfo.ie/map/coastal_map/,National,,Shapefile,2018,View data online. Contact the OPW to request access to the dataset,This dataset provides an estimate of extreme water levels around the coast of Ireland for a range of Annual Exceedance Probabilities (AEPs).,,,1
96,Hazard,Environment,Detailed Shoreline Combined Wave Climate and Water Level Conditions,Office of Public Works,OPW,https://www.floodinfo.ie/map/coastal_map/,National,,Shapefile,2018,View data online. Contact the OPW to request access to the dataset,These datasets show the detailed shoreline combined wave climate and water level conditions for the Coastal Areas Potentially Vulnerable to Wave Overtopping (CAPOs) that were included in Phase 3 of the Irish Coastal Wave and Water Level Modelling Study (ICWWS 2018) and from further Coastal Wave and Water Level Modelling Studies (CWWS) undertaken to inform the development of flood relief schemes,,,1
97,Hazard,Environment,Shoreline Combined Wave Climate and Water Level Conditions (ICWWS 2018 – Phase 2),Office of Public Works,OPW,https://www.floodinfo.ie/map/coastal_map/,National,,Shapefile,2018,View data online. Contact the OPW to request access to the dataset,This dataset shows the shoreline combined wave climate and water level conditions for the Coastal Areas Potentially Vulnerable to Wave Overtopping (CAPOs) that were included in Phase 2 of the Irish Coastal Wave and Water Level Modelling Study (ICWWS 2018).,,,1
98,Hazard,Environment,2050 Erosion Line (ICPSS 2010 - 2014) ,Office of Public Works,OPW,https://www.floodinfo.ie/map/coastal_map/,National,,Shapefile,2020,View data online. Contact the OPW to request access to the dataset,"This layer shows the predicted location of the coastline in 2050.The erosion maps have been produced for existing conditions only and do not include for projected future changes in climate such as sea level rise, increased storm frequency or associated variations in erosion rates.",,,1
99,Hazard,Environment,ICPSS PDF Erosion Maps (2010 - 2014),Office of Public Works,OPW,https://www.floodinfo.ie/map/coastal_map/,National,,,2020,View data online. Contact the OPW to request access to the dataset,"This layer shows the predicted location of the coastline in 2050.The erosion maps have been produced for existing conditions only and do not include for projected future changes in climate such as sea level rise, increased storm frequency or associated variations in erosion rates.",,,1
100,Hazard,Environment,Landslides events record,Geological Survey Ireland,GSI,https://dcenr.maps.arcgis.com/apps/webappviewer/index.html?id=b68cf1e4a9044a5981f950e9b9c5625c,National,,Shapefile,2016,Download: https://www.gsi.ie/en-ie/data-and-maps/Pages/Geohazards.aspx,This include landslide events and susceptibility map.,,,1
101,Hazard,Environment,EO Coastal Change,Geological Survey Ireland,GSI,in prep,Pilot sites with potential for national coverage,,,2021 (for pilot phase),in prep,Testing and verifying methods of monitoring coastal change from remote sensing data (ESA) . Satellite extracted shorelines. Range from 2015 to 2020. Areas from co. Louth to Co. Cork They can be used as a proxy for coastal change.,,,1
102,Hazard,Flooding , River – Low Probability,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,Shapefile,,View data online. Contact the OPW to request access to the dataset,Low Probability flood events have an indicative 1-in-a-1000 chance of occurring or being exceeded in any given year. This is also referred to as an Annual Exceedance Probability (AEP) of 0.1%.,,,1
103,Hazard,Flooding ,River – Medium Probability,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,Shapefile,,View data online. Contact the OPW to request access to the dataset,Medium Probability flood events have approximately a 1-in-a-100 chance of occurring or being exceeded in any given year. This is also referred to as an Annual Exceedance Probability (AEP) of 1%.,,,1
104,Hazard,Flooding ,River – High Probability,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,Shapefile,,View data online. Contact the OPW to request access to the dataset,High Probability flood events have approximately a 1-in-a-10 chance of occurring or being exceeded in any given year. This is also referred to as an Annual Exceedance Probability (AEP) of 10%.,,,1
105,Hazard,Flooding ,Coastal  – Low Probability,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,Shapefile,,View data online. Contact the OPW to request access to the dataset,Low Probability flood events have an indicative 1-in-a-1000 chance of occurring or being exceeded in any given year. This is also referred to as an Annual Exceedance Probability (AEP) of 0.1%.,,,1
106,Hazard,Flooding ,Coastal – Medium Probability,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,Shapefile,,View data online. Contact the OPW to request access to the dataset,Medium Probability flood events have approximately a 1-in-a-100 chance of occurring or being exceeded in any given year. This is also referred to as an Annual Exceedance Probability (AEP) of 1%.,,,1
107,Hazard,Flooding ,Coastal – High Probability,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,Shapefile,,View data online. Contact the OPW to request access to the dataset,High Probability flood events have approximately a 1-in-a-10 chance of occurring or being exceeded in any given year. This is also referred to as an Annual Exceedance Probability (AEP) of 10%.,,,1
108,Hazard,Flooding ,PDF Maps (printable),Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,,,View data online. Contact the OPW to request access to the dataset,"Printable maps have been produced for the 300 communities (AFA’s) at potentially significant flood risk from one or more sources of flooding. Each community was divided into one or more map tiles depending on area, and maps were produced for each tile.",,,1
109,Hazard,Flooding ,River - Low Probability,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,Shapefile,,View data online. Contact the OPW to request access to the dataset,"Flood event probabilities are referred to in terms of a percentage Annual Exceedance Probability, or ‘AEP’. This represents the probability of an event of this, or greater, severity occurring in any given year.",,,1
110,Hazard,Flooding ,River - Medium Probability,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,Shapefile,,View data online. Contact the OPW to request access to the dataset,"Flood event probabilities are referred to in terms of a percentage Annual Exceedance Probability, or ‘AEP’. This represents the probability of an event of this, or greater, severity occurring in any given year.",,,1
111,Hazard,Flooding ,Past Flood Event,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,,,View data online. Contact the OPW to request access to the dataset,"A Past Flood Event is defined as the occurrence of recorded flooding at a given location on a given date or on a recurring basis. The event is derived from available flood information documentation including flood event reports, news articles, archive information and photos.",,,1
112,Hazard,Flooding ,Past Flood Photos ,Office of Public Works,OPW,https://www.floodinfo.ie/map/floodmaps/,National,,,,View data online. Contact the OPW to request access to the dataset,"A Past Flood Event is defined as the occurrence of recorded flooding at a given location on a given date or on a recurring basis. The event is derived from available flood information documentation including flood event reports, news articles, archive information and photos.",,,1
